operation	pan_validity	bin	expiry_format	status	amount_vs_balance
delete	valid	known	mmyy	INACTIVE	below
read	wrong_length	unknown	empty	ACTIVE	below
reserve	valid	known	mmyy	ACTIVE	equal
create	valid	unknown	iso	ACTIVE	below
create	valid	known	empty	DELETED	below
read	invalid_luhn	known	mmyy	BLOCKED	below
delete	invalid_luhn	unknown	iso	ACTIVE	below
update	wrong_length	known	iso	BLOCKED	above
create	valid	unknown	mmyy	INACTIVE	below
update	invalid_luhn	unknown	empty	INACTIVE	equal
read	valid	unknown	iso	DELETED	below
generate	valid	unknown	mmyy	ACTIVE	below
reserve	valid	known	mmyy	INACTIVE	above
generate	valid	unknown	empty	BLOCKED	below
create	valid	known	mmyy	BLOCKED	below
update	invalid_luhn	unknown	mmyy	ACTIVE	above
generate	valid	known	mmyy	DELETED	below
generate	valid	unknown	iso	INACTIVE	below
update	wrong_length	unknown	iso	DELETED	equal
delete	wrong_length	unknown	empty	DELETED	below
reserve	valid	known	mmyy	BLOCKED	below
read	wrong_length	known	mmyy	INACTIVE	below
update	invalid_luhn	known	empty	DELETED	above
update	valid	unknown	mmyy	INACTIVE	below
delete	invalid_luhn	unknown	mmyy	BLOCKED	below
update	valid	unknown	empty	BLOCKED	equal
